ID,Title,Description,Category,RegularPrice,SalePrice,URL,ImageURL
1,"Fuel Additive Lubricant And Conditioner Treatment for Common Rail Dies","Responsive Common Rail Diesel Fuel Lubricant And Conditioner Engineered Specifically for Common Rail Diesel fuel systems Developed and produced by Australians for Australian vehicles and conditions The easiest way to protect your diesel fuel system  increased diesel fuel lubricity reduces injector noise reduces fuel co","specialist tools",39.50,,https://www.specialisttools.com.au/products/responsive-common-rail-diesel-fuel-additive-lubricant-and-conditioner-treatment,https://www.specialisttools.com.au/cdn/shop/products/Bottle_flyerAustralianMadeSmall.jpg?v=1604553401
2,"Diesel Fill - Misfuelling Prevention Device - Don&#39;t put the wrong fuel","Diesel Fill Screw in diesel fuel cap is a locking device to prevent putting the wrong fuel in your Diesel –Diesel Fill Safeguards against accidentally putting incorrect fuel into Diesel Vehicles The Diesel Fill replaces your existing screw in fuel cap. Simply screw off your diesel fuel cap and screw in Diesel Fill - the locking mechanism can only be unlocked by a diesel fuel nozzle which is larger than the other fuel nozzles at the bowser.","specialist tools",97.00,,https://www.specialisttools.com.au/products/diesel-fill-misfuelling-prevention-device-stop-petrol-in-diesel-car-fuel-cap,https://www.specialisttools.com.au/cdn/shop/products/57.png?v=1604553381
3,"Cam &amp; Crankshaft Timing Locking Tool Kit - Ford Ranger, Transit and Ma","Toledo Timing Tool Kit for Ford Ranger, Mazda BT50 2.2L andamp; 3.2L TDCi Part # 304769 Suits Ford Ranger and Mazda BT50 2.2 andamp; 3.2L TDCi Puma Duratorq chain drive diesel engines.  The kit is used for the locking and timing of the camshafts and crankshaft during the removal and installation of the engine timing chain","specialist tools",131.00,,https://www.specialisttools.com.au/products/timing-tool-kit,https://www.specialisttools.com.au/cdn/shop/products/MG_7128.jpg?v=1597915736
4,"Pack of 5 Polycarbonate O-Ring Pick Up Pick Tool - Strong, Non Scratch","O-Ring Plastic Picker Pick Up Tool. Non-scratch and great when a non-metallic tool is required on sensitive parts. Remove the O-Rings easily. For removing small O-Rings out of grooves. For dragging or digging the larger O-Rings. Durable and Strong. Non scratch, No Damage to sensitive components.","specialist tools",29.25,,https://www.specialisttools.com.au/products/o-ring-pick-up-tool-plastic-o-ring-picker,https://www.specialisttools.com.au/cdn/shop/files/20231205_153121a.jpg?v=1701751884
5,"Diesel Pump Sprocket Puller 2.2L Duratorq TDCi and 3.2L TDCi (Puma) En","Diesel Pump Sprocket Puller (Ford Transit, Mazda BT50) SA-3757 Specialised diesel pump sprocket puller, enabling pump removal without the removal of the timing chain. Because the sprocket on Transit (11-) does not have threaded holes, it requires the puller to have hook shaped legs.  This special tool ensures the corre","specialist tools",78.20,,https://www.specialisttools.com.au/products/diesel-pump-sprocket-puller-ford-transit-etc-2-2l-duratorq-04-2011-and-later,https://www.specialisttools.com.au/cdn/shop/products/57_cfe5b5bb-e77f-48c5-9846-7360aff0e0b9.jpg?v=1680257238
6,"Flexible Cable Wire Puller Threader Tool 1500mm Long","Electrical Wire Cable Installer Tool1500mm Long SA-3117B Designed for quick and easy installation of wires and cables through confined spaces. Designed for automotive electrical wire installation through grommets and existing wiring conduit. Eyelet shaped collet provides secure wire retention when threading wires.  Low","specialist tools",25.00,,https://www.specialisttools.com.au/products/flexible-cable-wire-puller-threader-tool-1500mm-long,https://www.specialisttools.com.au/cdn/shop/products/SA-3117Ba.jpg?v=1590208463
7,"Mazda BT50 Ford Ranger High Pressure Injection Pump Sprocket Locking T","High Pressure Supply Pump Sprocket Locking Tool BT50, Ford Ranger Euro 3.2 litre 5 cylinder SA-8033A For Ford Mazda Duratorq Puma, Transit 3.2L Duratorq-TDCI (Puma) Diesel :Ranger 3.2L Duratorq-TDCI (Puma) Diesel : (303) Specialist Tools Australia (Division Of Responsive Engineering Australia Pty Ltd). All products advertised are stocked in our Canberra warehouse – If you need more information, technical advice or assistance – we are here to help - We encourage customers to phone us prior to finalising your purchase to ensure you are purchasing the appropriate tools for your purpose Phone 02-6280 4334Free shipping within Australia, All parcels will be sent via regular Australia Post. Express post available upon request, additional charges will apply. International Shipping is also available.","specialist tools",98.45,,https://www.specialisttools.com.au/products/mazda-bt50-ranger-high-pressure-injection-pump-sprocket-lockingtool-303-1317,https://www.specialisttools.com.au/cdn/shop/products/8033.jpg?v=1623038330
8,"Universal Injector Seat Washer Removal Puller Tool, Toyota, Nissan, Eu","Universal Injector Seat Washer Removal Puller Tool, Toyota, Nissan, European etc (Puller for sealing ring) SA-4028 Making sure piston is at bottom of cylinder, tool is screwed into washer using the sharp tapered thread and then washer can be pulled out of recess. Suits many applications. Specialist Tools Australia","specialist tools",115.00,,https://www.specialisttools.com.au/products/universal-diesel-injector-seating-washer-removal-tool,https://www.specialisttools.com.au/cdn/shop/products/SA-4028-1a.png?v=1596167197
9,"Diesel Injector Puller For Conventional Mechanical Injectors - Suits B","Diesel Injector Puller For Conventional Mechanical Injectors Item# SA-2877N This specialised tool assists removal of stubborn diesel injectors saving time and money, especially when injectors are difficult to remove.This tool will suit any brand of mechanical injector with threaded top, almostall diesel injectors use 1","specialist tools",88.50,,https://www.specialisttools.com.au/products/diesel-injector-puller-for-conventional-mechanical-injectors,https://www.specialisttools.com.au/cdn/shop/products/SA-2877N-10.jpg?v=1596164997
10,"Injector Removal Tool Kit Common Rail Bosch, Denso and Siemens","Common Rail Injector Tool Kit SA-1618 Specification: Special tools to loosen and remove the injectors internal fixings.Includes the Injector ball valve lapping tools and guide.Applications include Bosch, Denso and Siemens injectors.   Contents 3 x Injector ball valve lapping tools 10mm Hex x 7.6mm Denso CR Injector val","specialist tools",67.00,,https://www.specialisttools.com.au/products/common-rail-injector-tool-kit,https://www.specialisttools.com.au/cdn/shop/products/57_9e5fd945-1749-405f-9d08-4cfbb6dfd822.jpg?v=1590053868
